step   temp newcost newlogp oldlogp pratio   rand accpt?(%)
==== ====== ====== ====== ====== ====== ====== ========
  146 72.35 64776464.20 -895382.19 -747183.03 0.00 0.97 False(22)
  147 72.38 58599770.19 -809599.13 -746809.63 0.00 0.79 False(22)
  148 72.42 55982849.36 -773057.91 -746436.41 0.00 0.17 False(22)
  149 72.45 56156866.97 -775073.35 -746063.38 0.00 0.76 False(22)
  150 72.49 54671059.46 -754189.24 -745690.53 0.00 0.50 False(21)
  151 72.53 56694258.41 -781708.49 -745317.87 0.00 0.62 False(21)
  152 72.56 59496129.42 -819931.12 -744945.40 0.00 0.28 False(21)
  153 72.60 55553368.70 -765212.33 -744573.11 0.00 0.49 False(21)
  154 72.63 55098313.86 -758564.96 -744201.01 0.00 0.36 False(21)
  155 72.67 61613976.09 -847845.29 -743829.10 0.00 0.83 False(21)
  156 72.71 55325048.39 -760925.41 -743457.37 0.00 0.25 False(21)
  157 72.74 54698974.12 -751938.59 -743085.83 0.00 0.11 False(20)
  158 72.78 65010237.59 -893239.36 -742714.47 0.00 0.33 False(20)
  159 72.82 54731365.03 -751632.04 -742343.30 0.00 0.06 False(20)
  160 72.85 75027682.11 -1029848.74 -741972.31 0.00 0.07 False(20)
  161 72.89 68934787.78 -945743.27 -741601.51 0.00 0.45 False(20)
  162 72.93 55159622.22 -756378.21 -741230.89 0.00 0.94 False(20)
  163 72.96 58566183.13 -802689.45 -740860.46 0.00 0.01 False(20)
  164 73.00 54557712.40 -747376.94 -740490.22 0.00 0.21 False(20)
  165 73.04 61062321.28 -836064.45 -740120.16 0.00 0.16 False(19)
  166 73.07 58299074.62 -797831.20 -739750.28 0.00 0.52 False(19)
  167 73.11 60055083.92 -821451.71 -739380.59 0.00 0.53 False(19)
  168 73.15 53846741.84 -736164.04 -739011.09 inf 0.18 True(20)
  169 73.18 79388449.03 -1084814.28 -735796.14 0.00 0.56 False(20)
  170 73.22 88584290.66 -1209867.17 -735428.43 0.00 0.30 False(19)
  171 73.25 61930038.13 -845405.83 -735060.89 0.00 0.32 False(19)
  172 73.29 58165038.71 -793613.08 -734693.55 0.00 0.91 False(19)
  173 73.33 60482260.02 -824817.21 -734326.38 0.00 0.26 False(19)
  174 73.36 55683496.74 -758995.34 -733959.41 0.00 0.58 False(19)
  175 73.40 56706271.47 -772550.02 -733592.61 0.00 0.97 False(19)
  176 73.44 54485256.29 -741920.59 -733226.00 0.00 0.36 False(19)
  177 73.47 53575608.37 -729169.41 -732859.57 inf 0.44 True(19)
  178 73.51 52967927.27 -720538.54 -728805.01 inf 0.58 True(20)
  179 73.55 55885207.55 -759843.26 -720178.45 0.00 0.13 False(20)
  180 73.59 53328995.70 -724725.36 -719818.54 0.00 0.22 False(19)
  181 73.62 53708684.60 -729520.46 -719458.81 0.00 0.38 False(19)
  182 73.66 54185704.32 -735631.96 -719099.26 0.00 0.50 False(19)
  183 73.70 70735263.57 -959830.95 -718739.89 0.00 0.87 False(19)
  184 73.73 53812029.60 -729828.89 -718380.70 0.00 0.48 False(19)
  185 73.77 54514884.16 -738991.90 -718021.69 0.00 0.11 False(19)
  186 73.81 55523005.33 -752281.63 -717662.86 0.00 0.46 False(19)
  187 73.84 54897478.41 -743434.65 -717304.21 0.00 0.19 False(19)
  188 73.88 55299836.47 -748509.22 -716945.74 0.00 0.05 False(19)
  189 73.92 53838019.33 -728358.66 -716587.44 0.00 0.88 False(18)
  190 73.95 56694383.20 -766618.26 -716229.33 0.00 0.05 False(18)
  191 73.99 81383444.25 -1099912.39 -715871.39 0.00 0.13 False(18)
  192 74.03 55051556.92 -743660.21 -715513.64 0.00 0.72 False(18)
  193 74.06 89831535.12 -1212876.73 -715156.06 0.00 0.45 False(18)
  194 74.10 53742545.53 -725252.08 -714798.66 0.00 0.34 False(18)
  195 74.14 59778123.32 -806298.65 -714441.44 0.00 0.55 False(18)
  196 74.18 54377052.36 -733081.44 -714084.40 0.00 0.18 False(18)
  197 74.21 54037248.73 -728136.33 -713727.53 0.00 0.47 False(18)
  198 74.25 55681724.42 -749920.21 -713370.85 0.00 0.60 False(18)
  199 74.29 90830085.57 -1222686.20 -713014.34 0.00 0.39 False(18)
  200 74.32 54181599.74 -728987.39 -712658.01 0.00 0.78 False(17)
  201 74.36 54239313.54 -729399.20 -712301.86 0.00 0.86 False(17)
  202 74.40 53323950.09 -716731.22 -711945.89 0.00 0.47 False(17)
  203 74.44 59874680.40 -804377.88 -711590.09 0.00 0.01 False(17)
  204 74.47 102308332.76 -1373759.88 -711234.47 0.00 0.82 False(17)
  205 74.51 54646598.56 -733408.37 -710879.03 0.00 0.30 False(17)
  206 74.55 53694484.73 -720269.98 -710523.77 0.00 0.64 False(17)
  207 74.58 59461493.14 -797231.32 -710168.69 0.00 0.44 False(17)
  208 74.62 56527912.95 -757520.52 -709813.78 0.00 0.47 False(17)
  209 74.66 52938014.19 -709058.39 -709459.05 1009769284024922915441166429327398226585903990860586750297919925986818760511525934092263276330192039439922373112195282922510131989952809046530809005031633722056987409154834432.00 0.67 True(17)
  210 74.70 53710215.10 -719041.83 -708704.04 0.00 0.96 False(17)
  211 74.73 53748121.47 -719189.70 -708349.87 0.00 0.88 False(17)
  212 74.77 66703350.75 -892094.22 -707995.87 0.00 0.52 False(17)
  213 74.81 54433424.31 -727631.75 -707642.05 0.00 0.67 False(17)
  214 74.85 54357411.74 -726252.53 -707288.40 0.00 0.87 False(17)
  215 74.88 52368286.30 -699326.78 -706934.93 inf 0.73 True(17)
  216 74.92 58710237.46 -783625.47 -698977.29 0.00 0.46 False(17)
  217 74.96 53498017.98 -713699.36 -698627.98 0.00 0.18 False(17)
  218 75.00 55539400.92 -740562.49 -698278.84 0.00 0.89 False(17)
  219 75.03 53005743.01 -706425.48 -697929.87 0.00 0.94 False(17)
  220 75.07 53932657.96 -718419.58 -697581.08 0.00 0.61 False(17)
  221 75.11 55318117.10 -736506.58 -697232.47 0.00 0.04 False(17)
  222 75.15 56704629.86 -754589.34 -696884.03 0.00 0.20 False(17)
  223 75.18 53075283.00 -705939.32 -696535.76 0.00 0.28 False(16)
  224 75.22 57693790.70 -766985.29 -696187.66 0.00 0.10 False(16)
  225 75.26 59058911.04 -784740.93 -695839.74 0.00 0.63 False(16)
  226 75.30 53139272.35 -705731.30 -695492.00 0.00 0.23 False(16)
  227 75.33 53131253.82 -705272.17 -695144.43 0.00 0.03 False(16)
  228 75.37 53801936.07 -713818.00 -694797.03 0.00 0.56 False(16)
  229 75.41 68956963.07 -914430.33 -694449.80 0.00 0.38 False(16)
  230 75.45 52845684.49 -700430.31 -694102.75 0.00 0.54 False(16)
  231 75.49 60607696.12 -802908.56 -693755.87 0.00 0.12 False(16)
  232 75.52 56580797.81 -749187.09 -693409.17 0.00 0.88 False(16)
  233 75.56 53042695.63 -701988.04 -693062.64 0.00 0.80 False(16)
  234 75.60 54464324.66 -720442.22 -692716.28 0.00 0.76 False(16)
  235 75.64 53016222.86 -700936.57 -692370.09 0.00 0.21 False(16)
  236 75.67 53174381.26 -702676.28 -692024.08 0.00 0.44 False(16)
  237 75.71 54276793.08 -716885.72 -691678.24 0.00 0.59 False(15)
  238 75.75 54632951.38 -721229.23 -691332.58 0.00 0.58 False(15)
  239 75.79 82814482.30 -1092717.40 -690987.08 0.00 0.11 False(15)
  240 75.83 53675582.42 -707882.60 -690641.76 0.00 0.37 False(15)
  241 75.86 55904943.12 -736915.33 -690296.61 0.00 0.37 False(15)
  242 75.90 56908568.55 -749769.81 -689951.64 0.00 0.00 False(15)
  243 75.94 53989114.58 -710950.56 -689606.83 0.00 0.84 False(15)
  244 75.98 56573823.93 -744614.75 -689262.20 0.00 0.31 False(15)
  245 76.02 109716351.87 -1443345.72 -688917.74 0.00 0.08 False(15)
  246 76.05 62857537.65 -826493.19 -688573.46 0.00 0.02 False(15)
  247 76.09 53283341.01 -700255.09 -688229.34 0.00 0.73 False(15)
  248 76.13 53697955.67 -705351.32 -687885.40 0.00 0.51 False(15)
  249 76.17 86413564.62 -1134521.05 -687541.63 0.00 0.65 False(15)
  250 76.21 75572673.77 -991695.48 -687198.03 0.00 0.93 False(15)
  251 76.24 55289009.92 -725162.38 -686854.60 0.00 0.08 False(15)
  252 76.28 55038236.80 -721512.52 -686511.35 0.00 0.69 False(15)
  253 76.32 54809245.94 -718151.53 -686168.26 0.00 0.41 False(14)
  254 76.36 54292704.34 -711027.91 -685825.35 0.00 0.41 False(14)
  255 76.40 54469491.19 -712986.65 -685482.61 0.00 0.82 False(14)
  256 76.43 60160313.55 -787083.99 -685140.04 0.00 0.84 False(14)
  257 76.47 52290412.30 -683779.32 -684797.64 inf 0.46 True(15)
  258 76.51 54291641.99 -709593.74 -683437.60 0.00 0.27 False(15)
  259 76.55 53398296.10 -697568.89 -683096.05 0.00 0.03 False(15)
  260 76.59 52983897.32 -691809.49 -682754.67 0.00 0.33 False(14)
  261 76.63 55645034.42 -726192.80 -682413.46 0.00 0.81 False(14)
  262 76.66 55433557.02 -723071.39 -682072.43 0.00 0.53 False(14)
  263 76.70 54288286.95 -707778.67 -681731.56 0.00 0.24 False(14)
  264 76.74 55524681.81 -723536.29 -681390.87 0.00 0.65 False(14)
  265 76.78 52998757.35 -690276.10 -681050.34 0.00 0.33 False(14)
  266 76.82 55521827.71 -722776.15 -680709.99 0.00 0.74 False(14)
  267 76.86 56287058.09 -732371.63 -680369.80 0.00 0.15 False(14)
  268 76.89 54921916.38 -714252.14 -680029.79 0.00 0.52 False(14)
  269 76.93 51801113.98 -673329.86 -679689.94 inf 0.41 True(14)
  270 76.97 54213940.84 -704340.50 -672993.37 0.00 0.21 False(14)
  271 77.01 54735989.45 -710767.51 -672657.04 0.00 0.47 False(14)
  272 77.05 54174774.76 -703128.36 -672320.88 0.00 0.68 False(14)
  273 77.09 52060508.38 -675349.85 -671984.89 0.00 0.39 False(14)
  274 77.13 49728539.32 -644776.23 -671649.06 inf 0.54 True(14)
  275 77.16 56772397.14 -735738.45 -644454.00 0.00 0.95 False(14)
  276 77.20 54831620.22 -710231.95 -644131.93 0.00 0.84 False(14)
  277 77.24 53967168.64 -698685.40 -643810.03 0.00 0.93 False(14)
  278 77.28 51181391.76 -662288.22 -643488.28 0.00 0.99 False(14)
  279 77.32 55692169.86 -720297.63 -643166.70 0.00 0.18 False(14)
  280 77.36 49949910.28 -645706.96 -642845.28 0.00 0.88 False(14)
  281 77.40 55529471.87 -717475.71 -642524.02 0.00 0.93 False(14)
  282 77.43 57315698.60 -740184.79 -642202.91 0.00 0.68 False(14)
  283 77.47 51424075.84 -663767.48 -641881.97 0.00 0.51 False(14)
  284 77.51 53333304.45 -688067.23 -641561.19 0.00 0.52 False(14)
  285 77.55 73997988.46 -954190.75 -641240.57 0.00 0.53 False(14)
  286 77.59 52242039.70 -673315.05 -640920.11 0.00 0.48 False(14)
  287 77.63 51859525.10 -668051.03 -640599.81 0.00 0.63 False(14)
  288 77.67 49017469.68 -631124.30 -640279.67 inf 0.47 True(14)
  289 77.71 115953227.06 -1492209.35 -630808.89 0.00 0.63 False(14)
  290 77.74 76481586.61 -983754.46 -630493.65 0.00 0.15 False(14)
  291 77.78 56988470.45 -732655.36 -630178.56 0.00 0.67 False(14)
  292 77.82 51929136.20 -667277.89 -629863.62 0.00 0.13 False(14)
  293 77.86 51501492.48 -661452.04 -629548.85 0.00 0.58 False(14)
  294 77.90 56233609.96 -721867.38 -629234.23 0.00 0.03 False(14)
  295 77.94 162854342.73 -2089506.39 -628919.77 0.00 0.66 False(14)
  296 77.98 51279082.34 -657608.64 -628605.47 0.00 0.67 False(14)
  297 78.02 55849084.15 -715856.92 -628291.32 0.00 0.50 False(14)
  298 78.06 50800397.98 -650818.96 -627977.34 0.00 0.59 False(14)
  299 78.10 63233046.03 -809692.45 -627663.50 0.00 0.86 False(14)
  300 78.13 51302728.72 -656597.71 -627349.83 0.00 0.25 False(13)
  301 78.17 74997454.70 -959374.84 -627036.31 0.00 0.03 False(13)
  302 78.21 91267360.75 -1166917.63 -626722.95 0.00 0.67 False(13)
  303 78.25 49713987.33 -635310.76 -626409.74 0.00 0.91 False(13)
  304 78.29 49695878.92 -634761.97 -626096.70 0.00 0.21 False(13)
  305 78.33 107254876.35 -1369274.36 -625783.80 0.00 0.97 False(13)
  306 78.37 53468256.79 -682263.85 -625471.07 0.00 0.13 False(13)
  307 78.41 51649814.51 -658730.86 -625158.49 0.00 0.69 False(13)
  308 78.45 51996906.22 -662826.18 -624846.07 0.00 0.07 False(13)
