step   temp newcost newlogp oldlogp pratio   rand accpt?(%)
==== ====== ====== ====== ====== ====== ====== ========
  239 76.74 1046.35 -13.63 -5.58 0.00 0.51 False(22)
  240 76.78 1415.91 -18.44 -5.57 0.00 0.36 False(21)
  241 76.82 551.43 -7.18 -5.57 0.20 0.83 False(21)
  242 76.86 1821.29 -23.70 -5.57 0.00 0.48 False(21)
  243 76.90 654.29 -8.51 -5.57 0.05 0.97 False(21)
  244 76.93 1644.39 -21.37 -5.56 0.00 0.98 False(21)
  245 76.97 651.69 -8.47 -5.56 0.05 0.82 False(21)
  246 77.01 905.21 -11.75 -5.56 0.00 0.52 False(21)
  247 77.05 853.28 -11.07 -5.56 0.00 0.45 False(21)
  248 77.09 2067.97 -26.83 -5.55 0.00 0.78 False(21)
  249 77.13 811.62 -10.52 -5.55 0.01 0.85 False(21)
  250 77.16 894.54 -11.59 -5.55 0.00 0.11 False(21)
  251 77.20 1102.93 -14.29 -5.54 0.00 0.40 False(21)
  252 77.24 1118.13 -14.48 -5.54 0.00 0.39 False(20)
  253 77.28 588.58 -7.62 -5.54 0.13 0.57 False(20)
  254 77.32 1448.17 -18.73 -5.54 0.00 0.06 False(20)
  255 77.36 2195.88 -28.39 -5.53 0.00 0.69 False(20)
  256 77.40 710.03 -9.17 -5.53 0.03 0.79 False(20)
  257 77.44 1525.82 -19.70 -5.53 0.00 0.35 False(20)
  258 77.47 1716.20 -22.15 -5.52 0.00 0.18 False(20)
  259 77.51 583.84 -7.53 -5.52 0.13 0.08 True(20)
  260 77.55 3323.65 -42.86 -7.53 0.00 0.61 False(20)
  261 77.59 829.32 -10.69 -7.52 0.04 0.20 False(20)
  262 77.63 583.67 -7.52 -7.52 1.00 0.62 True(20)
  263 77.67 972.89 -12.53 -7.51 0.01 0.41 False(20)
  264 77.71 433.09 -5.57 -7.51 6.94 0.13 True(21)
  265 77.75 1046.20 -13.46 -5.57 0.00 0.36 False(21)
  266 77.78 3399.96 -43.71 -5.57 0.00 0.75 False(20)
  267 77.82 527.24 -6.77 -5.56 0.30 0.05 True(21)
  268 77.86 1084.13 -13.92 -6.77 0.00 0.80 False(21)
